Start Time, Sun Jul 20 23:05:50 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 114.283585
Real Time (s), 114.343429
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 2
11, 8.315118610858917, 4
12, 9.071038484573364, 1
13, 9.826958358287811, 1
14, 10.582878232002258, 5
15, 11.338798105716705, 3
16, 12.094717979431152, 5
17, 12.8506378531456, 4
18, 13.606557726860046, 3
19, 14.362477600574493, 4
20, 15.11839747428894, 5
21, 15.874317348003387, 2
22, 16.630237221717834, 4
23, 17.38615709543228, 7
24, 18.14207696914673, 1
25, 18.897996842861176, 6
26, 19.653916716575623, 8
27, 20.40983659029007, 6
28, 21.165756464004517, 8
29, 21.921676337718964, 3
30, 22.67759621143341, 3
31, 23.433516085147858, 8
32, 24.189435958862305, 2
33, 24.94535583257675, 6
34, 25.7012757062912, 5
35, 26.457195580005646, 5
36, 27.213115453720093, 5
37, 27.96903532743454, 10
38, 28.724955201148987, 9
39, 29.480875074863434, 7
40, 30.23679494857788, 1
41, 30.992714822292328, 6
42, 31.748634696006775, 6
43, 32.50455456972122, 5
44, 33.26047444343567, 4
45, 34.016394317150116, 4
46, 34.77231419086456, 8
47, 35.52823406457901, 5
48, 36.28415393829346, 8
49, 37.040073812007904, 7
50, 37.79599368572235, 3
51, 38.5519135594368, 3
52, 39.307833433151245, 5
53, 40.06375330686569, 7
54, 40.81967318058014, 2
55, 41.575593054294586, 7
56, 42.33151292800903, 9
57, 43.08743280172348, 7
58, 43.84335267543793, 3
59, 44.599272549152374, 9
60, 45.35519242286682, 3
61, 46.11111229658127, 6
62, 46.867032170295715, 4
63, 47.62295204401016, 4
64, 48.37887191772461, 2
65, 49.134791791439056, 5
66, 49.8907116651535, 7
67, 50.64663153886795, 6
68, 51.4025514125824, 5
69, 52.158471286296844, 7
70, 52.91439116001129, 7
71, 53.67031103372574, 9
72, 54.426230907440186, 10
73, 55.18215078115463, 7
74, 55.93807065486908, 8
75, 56.69399052858353, 7
76, 57.449910402297974, 2
77, 58.20583027601242, 8
78, 58.96175014972687, 9
79, 59.717670023441315, 5
80, 60.47358989715576, 5
81, 61.22950977087021, 5
82, 61.985429644584656, 10
83, 62.7413495182991, 3
84, 63.49726939201355, 6
85, 64.253189265728, 6
86, 65.00910913944244, 2
87, 65.76502901315689, 6
88, 66.52094888687134, 12
89, 67.27686876058578, 11
90, 68.03278863430023, 10
91, 68.78870850801468, 12
92, 69.54462838172913, 13
