Start Time, Sun Jul 20 23:28:24 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 75.850585
Real Time (s), 76.410802
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 52
11, 8.315118610858917, 42
12, 9.071038484573364, 51
13, 9.826958358287811, 63
14, 10.582878232002258, 43
15, 11.338798105716705, 62
16, 12.094717979431152, 50
17, 12.8506378531456, 37
18, 13.606557726860046, 59
19, 14.362477600574493, 63
20, 15.11839747428894, 50
21, 15.874317348003387, 39
22, 16.630237221717834, 55
23, 17.38615709543228, 49
24, 18.14207696914673, 59
25, 18.897996842861176, 45
26, 19.653916716575623, 52
27, 20.40983659029007, 50
28, 21.165756464004517, 46
29, 21.921676337718964, 53
30, 22.67759621143341, 52
31, 23.433516085147858, 51
32, 24.189435958862305, 54
33, 24.94535583257675, 60
34, 25.7012757062912, 61
35, 26.457195580005646, 55
36, 27.213115453720093, 55
37, 27.96903532743454, 60
38, 28.724955201148987, 62
39, 29.480875074863434, 54
40, 30.23679494857788, 63
41, 30.992714822292328, 57
42, 31.748634696006775, 63
43, 32.50455456972122, 53
44, 33.26047444343567, 65
45, 34.016394317150116, 73
46, 34.77231419086456, 54
47, 35.52823406457901, 67
48, 36.28415393829346, 53
49, 37.040073812007904, 60
50, 37.79599368572235, 68
51, 38.5519135594368, 51
52, 39.307833433151245, 54
53, 40.06375330686569, 58
54, 40.81967318058014, 49
55, 41.575593054294586, 53
56, 42.33151292800903, 69
57, 43.08743280172348, 64
58, 43.84335267543793, 83
59, 44.599272549152374, 64
60, 45.35519242286682, 65
61, 46.11111229658127, 63
62, 46.867032170295715, 56
63, 47.62295204401016, 60
64, 48.37887191772461, 68
65, 49.134791791439056, 65
66, 49.8907116651535, 71
67, 50.64663153886795, 69
68, 51.4025514125824, 75
69, 52.158471286296844, 76
70, 52.91439116001129, 78
71, 53.67031103372574, 92
72, 54.426230907440186, 67
73, 55.18215078115463, 79
74, 55.93807065486908, 62
75, 56.69399052858353, 73
76, 57.449910402297974, 66
77, 58.20583027601242, 63
78, 58.96175014972687, 61
79, 59.717670023441315, 77
80, 60.47358989715576, 74
81, 61.22950977087021, 67
82, 61.985429644584656, 62
83, 62.7413495182991, 67
84, 63.49726939201355, 72
85, 64.253189265728, 80
86, 65.00910913944244, 66
87, 65.76502901315689, 75
88, 66.52094888687134, 79
89, 67.27686876058578, 82
90, 68.03278863430023, 77
91, 68.78870850801468, 80
92, 69.54462838172913, 64
