Start Time, Sun Jul 20 23:14:52 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 178.201136
Real Time (s), 178.316287
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 10
11, 8.315118610858917, 5
12, 9.071038484573364, 14
13, 9.826958358287811, 8
14, 10.582878232002258, 3
15, 11.338798105716705, 10
16, 12.094717979431152, 11
17, 12.8506378531456, 9
18, 13.606557726860046, 10
19, 14.362477600574493, 14
20, 15.11839747428894, 8
21, 15.874317348003387, 10
22, 16.630237221717834, 15
23, 17.38615709543228, 11
24, 18.14207696914673, 14
25, 18.897996842861176, 6
26, 19.653916716575623, 13
27, 20.40983659029007, 9
28, 21.165756464004517, 12
29, 21.921676337718964, 14
30, 22.67759621143341, 8
31, 23.433516085147858, 7
32, 24.189435958862305, 7
33, 24.94535583257675, 19
34, 25.7012757062912, 11
35, 26.457195580005646, 8
36, 27.213115453720093, 12
37, 27.96903532743454, 17
38, 28.724955201148987, 11
39, 29.480875074863434, 13
40, 30.23679494857788, 8
41, 30.992714822292328, 21
42, 31.748634696006775, 12
43, 32.50455456972122, 15
44, 33.26047444343567, 13
45, 34.016394317150116, 10
46, 34.77231419086456, 9
47, 35.52823406457901, 14
48, 36.28415393829346, 8
49, 37.040073812007904, 11
50, 37.79599368572235, 8
51, 38.5519135594368, 8
52, 39.307833433151245, 19
53, 40.06375330686569, 8
54, 40.81967318058014, 16
55, 41.575593054294586, 13
56, 42.33151292800903, 20
57, 43.08743280172348, 11
58, 43.84335267543793, 18
59, 44.599272549152374, 15
60, 45.35519242286682, 16
61, 46.11111229658127, 15
62, 46.867032170295715, 22
63, 47.62295204401016, 13
64, 48.37887191772461, 10
65, 49.134791791439056, 11
66, 49.8907116651535, 18
67, 50.64663153886795, 15
68, 51.4025514125824, 17
69, 52.158471286296844, 13
70, 52.91439116001129, 8
71, 53.67031103372574, 15
72, 54.426230907440186, 15
73, 55.18215078115463, 15
74, 55.93807065486908, 15
75, 56.69399052858353, 14
76, 57.449910402297974, 13
77, 58.20583027601242, 9
78, 58.96175014972687, 14
79, 59.717670023441315, 14
80, 60.47358989715576, 14
81, 61.22950977087021, 12
82, 61.985429644584656, 14
83, 62.7413495182991, 13
84, 63.49726939201355, 12
85, 64.253189265728, 11
86, 65.00910913944244, 16
87, 65.76502901315689, 14
88, 66.52094888687134, 18
89, 67.27686876058578, 10
90, 68.03278863430023, 25
91, 68.78870850801468, 16
92, 69.54462838172913, 18
