Start Time, Sun Jul 20 23:24:46 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 166.612193
Real Time (s), 166.973805
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 35
11, 8.315118610858917, 34
12, 9.071038484573364, 27
13, 9.826958358287811, 39
14, 10.582878232002258, 28
15, 11.338798105716705, 42
16, 12.094717979431152, 24
17, 12.8506378531456, 26
18, 13.606557726860046, 33
19, 14.362477600574493, 44
20, 15.11839747428894, 44
21, 15.874317348003387, 24
22, 16.630237221717834, 30
23, 17.38615709543228, 44
24, 18.14207696914673, 40
25, 18.897996842861176, 37
26, 19.653916716575623, 41
27, 20.40983659029007, 33
28, 21.165756464004517, 38
29, 21.921676337718964, 29
30, 22.67759621143341, 42
31, 23.433516085147858, 32
32, 24.189435958862305, 44
33, 24.94535583257675, 40
34, 25.7012757062912, 28
35, 26.457195580005646, 27
36, 27.213115453720093, 28
37, 27.96903532743454, 37
38, 28.724955201148987, 39
39, 29.480875074863434, 34
40, 30.23679494857788, 26
41, 30.992714822292328, 36
42, 31.748634696006775, 31
43, 32.50455456972122, 38
44, 33.26047444343567, 49
45, 34.016394317150116, 34
46, 34.77231419086456, 31
47, 35.52823406457901, 44
48, 36.28415393829346, 44
49, 37.040073812007904, 37
50, 37.79599368572235, 43
51, 38.5519135594368, 34
52, 39.307833433151245, 46
53, 40.06375330686569, 35
54, 40.81967318058014, 33
55, 41.575593054294586, 44
56, 42.33151292800903, 43
57, 43.08743280172348, 30
58, 43.84335267543793, 49
59, 44.599272549152374, 41
60, 45.35519242286682, 44
61, 46.11111229658127, 50
62, 46.867032170295715, 57
63, 47.62295204401016, 65
64, 48.37887191772461, 38
65, 49.134791791439056, 51
66, 49.8907116651535, 43
67, 50.64663153886795, 46
68, 51.4025514125824, 58
69, 52.158471286296844, 52
70, 52.91439116001129, 47
71, 53.67031103372574, 62
72, 54.426230907440186, 45
73, 55.18215078115463, 56
74, 55.93807065486908, 42
75, 56.69399052858353, 57
76, 57.449910402297974, 41
77, 58.20583027601242, 46
78, 58.96175014972687, 51
79, 59.717670023441315, 35
80, 60.47358989715576, 44
81, 61.22950977087021, 49
82, 61.985429644584656, 54
83, 62.7413495182991, 51
84, 63.49726939201355, 53
85, 64.253189265728, 46
86, 65.00910913944244, 43
87, 65.76502901315689, 37
88, 66.52094888687134, 52
89, 67.27686876058578, 50
90, 68.03278863430023, 54
91, 68.78870850801468, 49
92, 69.54462838172913, 44
