Start Time, Sun Jul 20 23:18:19 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 205.603681
Real Time (s), 205.766607
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 12
11, 8.315118610858917, 8
12, 9.071038484573364, 8
13, 9.826958358287811, 11
14, 10.582878232002258, 18
15, 11.338798105716705, 12
16, 12.094717979431152, 9
17, 12.8506378531456, 9
18, 13.606557726860046, 10
19, 14.362477600574493, 15
20, 15.11839747428894, 14
21, 15.874317348003387, 14
22, 16.630237221717834, 12
23, 17.38615709543228, 10
24, 18.14207696914673, 18
25, 18.897996842861176, 12
26, 19.653916716575623, 19
27, 20.40983659029007, 14
28, 21.165756464004517, 15
29, 21.921676337718964, 17
30, 22.67759621143341, 14
31, 23.433516085147858, 17
32, 24.189435958862305, 15
33, 24.94535583257675, 17
34, 25.7012757062912, 15
35, 26.457195580005646, 12
36, 27.213115453720093, 16
37, 27.96903532743454, 16
38, 28.724955201148987, 19
39, 29.480875074863434, 20
40, 30.23679494857788, 14
41, 30.992714822292328, 20
42, 31.748634696006775, 14
43, 32.50455456972122, 11
44, 33.26047444343567, 16
45, 34.016394317150116, 18
46, 34.77231419086456, 14
47, 35.52823406457901, 15
48, 36.28415393829346, 19
49, 37.040073812007904, 16
50, 37.79599368572235, 14
51, 38.5519135594368, 21
52, 39.307833433151245, 15
53, 40.06375330686569, 12
54, 40.81967318058014, 17
55, 41.575593054294586, 17
56, 42.33151292800903, 18
57, 43.08743280172348, 19
58, 43.84335267543793, 25
59, 44.599272549152374, 15
60, 45.35519242286682, 23
61, 46.11111229658127, 17
62, 46.867032170295715, 20
63, 47.62295204401016, 20
64, 48.37887191772461, 19
65, 49.134791791439056, 23
66, 49.8907116651535, 15
67, 50.64663153886795, 17
68, 51.4025514125824, 10
69, 52.158471286296844, 19
70, 52.91439116001129, 22
71, 53.67031103372574, 18
72, 54.426230907440186, 22
73, 55.18215078115463, 28
74, 55.93807065486908, 14
75, 56.69399052858353, 22
76, 57.449910402297974, 18
77, 58.20583027601242, 14
78, 58.96175014972687, 24
79, 59.717670023441315, 25
80, 60.47358989715576, 19
81, 61.22950977087021, 24
82, 61.985429644584656, 12
83, 62.7413495182991, 17
84, 63.49726939201355, 16
85, 64.253189265728, 21
86, 65.00910913944244, 18
87, 65.76502901315689, 20
88, 66.52094888687134, 27
89, 67.27686876058578, 18
90, 68.03278863430023, 22
91, 68.78870850801468, 19
92, 69.54462838172913, 25
