Start Time, Sun Jul 20 23:30:07 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 65.678413
Real Time (s), 68.780699
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 273
11, 8.315118610858917, 237
12, 9.071038484573364, 264
13, 9.826958358287811, 259
14, 10.582878232002258, 263
15, 11.338798105716705, 295
16, 12.094717979431152, 269
17, 12.8506378531456, 301
18, 13.606557726860046, 292
19, 14.362477600574493, 254
20, 15.11839747428894, 288
21, 15.874317348003387, 280
22, 16.630237221717834, 307
23, 17.38615709543228, 301
24, 18.14207696914673, 286
25, 18.897996842861176, 266
26, 19.653916716575623, 301
27, 20.40983659029007, 287
28, 21.165756464004517, 283
29, 21.921676337718964, 298
30, 22.67759621143341, 291
31, 23.433516085147858, 290
32, 24.189435958862305, 309
33, 24.94535583257675, 286
34, 25.7012757062912, 319
35, 26.457195580005646, 298
36, 27.213115453720093, 276
37, 27.96903532743454, 293
38, 28.724955201148987, 310
39, 29.480875074863434, 295
40, 30.23679494857788, 292
41, 30.992714822292328, 329
42, 31.748634696006775, 323
43, 32.50455456972122, 314
44, 33.26047444343567, 313
45, 34.016394317150116, 286
46, 34.77231419086456, 309
47, 35.52823406457901, 305
48, 36.28415393829346, 323
49, 37.040073812007904, 313
50, 37.79599368572235, 328
51, 38.5519135594368, 303
52, 39.307833433151245, 303
53, 40.06375330686569, 322
54, 40.81967318058014, 325
55, 41.575593054294586, 315
56, 42.33151292800903, 323
57, 43.08743280172348, 307
58, 43.84335267543793, 337
59, 44.599272549152374, 348
60, 45.35519242286682, 343
61, 46.11111229658127, 325
62, 46.867032170295715, 330
63, 47.62295204401016, 299
64, 48.37887191772461, 334
65, 49.134791791439056, 321
66, 49.8907116651535, 329
67, 50.64663153886795, 374
68, 51.4025514125824, 347
69, 52.158471286296844, 329
70, 52.91439116001129, 339
71, 53.67031103372574, 350
72, 54.426230907440186, 394
73, 55.18215078115463, 314
74, 55.93807065486908, 377
75, 56.69399052858353, 363
76, 57.449910402297974, 337
77, 58.20583027601242, 348
78, 58.96175014972687, 337
79, 59.717670023441315, 308
80, 60.47358989715576, 337
81, 61.22950977087021, 336
82, 61.985429644584656, 348
83, 62.7413495182991, 328
84, 63.49726939201355, 339
85, 64.253189265728, 326
86, 65.00910913944244, 327
87, 65.76502901315689, 323
88, 66.52094888687134, 329
89, 67.27686876058578, 357
90, 68.03278863430023, 374
91, 68.78870850801468, 397
92, 69.54462838172913, 363
