Start Time, Sun Jul 20 23:10:42 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 217.335132
Real Time (s), 217.466552
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 10
11, 8.315118610858917, 17
12, 9.071038484573364, 7
13, 9.826958358287811, 8
14, 10.582878232002258, 5
15, 11.338798105716705, 13
16, 12.094717979431152, 7
17, 12.8506378531456, 4
18, 13.606557726860046, 10
19, 14.362477600574493, 12
20, 15.11839747428894, 9
21, 15.874317348003387, 8
22, 16.630237221717834, 16
23, 17.38615709543228, 4
24, 18.14207696914673, 7
25, 18.897996842861176, 8
26, 19.653916716575623, 15
27, 20.40983659029007, 10
28, 21.165756464004517, 5
29, 21.921676337718964, 11
30, 22.67759621143341, 13
31, 23.433516085147858, 8
32, 24.189435958862305, 10
33, 24.94535583257675, 11
34, 25.7012757062912, 11
35, 26.457195580005646, 7
36, 27.213115453720093, 12
37, 27.96903532743454, 10
38, 28.724955201148987, 19
39, 29.480875074863434, 7
40, 30.23679494857788, 10
41, 30.992714822292328, 12
42, 31.748634696006775, 9
43, 32.50455456972122, 8
44, 33.26047444343567, 16
45, 34.016394317150116, 12
46, 34.77231419086456, 18
47, 35.52823406457901, 11
48, 36.28415393829346, 18
49, 37.040073812007904, 15
50, 37.79599368572235, 13
51, 38.5519135594368, 14
52, 39.307833433151245, 8
53, 40.06375330686569, 16
54, 40.81967318058014, 11
55, 41.575593054294586, 17
56, 42.33151292800903, 20
57, 43.08743280172348, 13
58, 43.84335267543793, 15
59, 44.599272549152374, 13
60, 45.35519242286682, 18
61, 46.11111229658127, 19
62, 46.867032170295715, 16
63, 47.62295204401016, 14
64, 48.37887191772461, 22
65, 49.134791791439056, 18
66, 49.8907116651535, 17
67, 50.64663153886795, 18
68, 51.4025514125824, 16
69, 52.158471286296844, 14
70, 52.91439116001129, 15
71, 53.67031103372574, 15
72, 54.426230907440186, 11
73, 55.18215078115463, 13
74, 55.93807065486908, 18
75, 56.69399052858353, 18
76, 57.449910402297974, 16
77, 58.20583027601242, 16
78, 58.96175014972687, 14
79, 59.717670023441315, 18
80, 60.47358989715576, 14
81, 61.22950977087021, 14
82, 61.985429644584656, 20
83, 62.7413495182991, 19
84, 63.49726939201355, 22
85, 64.253189265728, 16
86, 65.00910913944244, 15
87, 65.76502901315689, 15
88, 66.52094888687134, 24
89, 67.27686876058578, 18
90, 68.03278863430023, 16
91, 68.78870850801468, 22
92, 69.54462838172913, 27
