Start Time, Sun Jul 20 23:22:07 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 139.141216
Real Time (s), 139.293479
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 13
11, 8.315118610858917, 17
12, 9.071038484573364, 9
13, 9.826958358287811, 14
14, 10.582878232002258, 13
15, 11.338798105716705, 9
16, 12.094717979431152, 10
17, 12.8506378531456, 11
18, 13.606557726860046, 13
19, 14.362477600574493, 18
20, 15.11839747428894, 15
21, 15.874317348003387, 17
22, 16.630237221717834, 12
23, 17.38615709543228, 9
24, 18.14207696914673, 15
25, 18.897996842861176, 9
26, 19.653916716575623, 9
27, 20.40983659029007, 16
28, 21.165756464004517, 13
29, 21.921676337718964, 10
30, 22.67759621143341, 17
31, 23.433516085147858, 19
32, 24.189435958862305, 19
33, 24.94535583257675, 11
34, 25.7012757062912, 16
35, 26.457195580005646, 25
36, 27.213115453720093, 18
37, 27.96903532743454, 14
38, 28.724955201148987, 13
39, 29.480875074863434, 17
40, 30.23679494857788, 16
41, 30.992714822292328, 14
42, 31.748634696006775, 18
43, 32.50455456972122, 18
44, 33.26047444343567, 14
45, 34.016394317150116, 16
46, 34.77231419086456, 18
47, 35.52823406457901, 15
48, 36.28415393829346, 16
49, 37.040073812007904, 14
50, 37.79599368572235, 18
51, 38.5519135594368, 17
52, 39.307833433151245, 13
53, 40.06375330686569, 15
54, 40.81967318058014, 21
55, 41.575593054294586, 15
56, 42.33151292800903, 13
57, 43.08743280172348, 14
58, 43.84335267543793, 21
59, 44.599272549152374, 24
60, 45.35519242286682, 26
61, 46.11111229658127, 24
62, 46.867032170295715, 21
63, 47.62295204401016, 21
64, 48.37887191772461, 20
65, 49.134791791439056, 18
66, 49.8907116651535, 20
67, 50.64663153886795, 26
68, 51.4025514125824, 19
69, 52.158471286296844, 20
70, 52.91439116001129, 21
71, 53.67031103372574, 22
72, 54.426230907440186, 11
73, 55.18215078115463, 13
74, 55.93807065486908, 23
75, 56.69399052858353, 23
76, 57.449910402297974, 21
77, 58.20583027601242, 17
78, 58.96175014972687, 19
79, 59.717670023441315, 16
80, 60.47358989715576, 17
81, 61.22950977087021, 14
82, 61.985429644584656, 16
83, 62.7413495182991, 25
84, 63.49726939201355, 26
85, 64.253189265728, 17
86, 65.00910913944244, 25
87, 65.76502901315689, 21
88, 66.52094888687134, 18
89, 67.27686876058578, 19
90, 68.03278863430023, 22
91, 68.78870850801468, 21
92, 69.54462838172913, 20
