1.37e-18,6.05e-20,0.0001275,2.e-6,4.586,0.001287,0.00001,5.328,249.1,0.5,294.15,102200,"C"
1.05e-18,4.72e-20,0.0000905,2.e-6,4.586,0.001293,0.00001,5.733,249.1,0.5,294.15,102200,"C"
1.38e-18,6.11e-20,0.000111,2.e-6,4.586,0.001375,0.00001,5.193,249.1,0.5,294.15,102200,"C"
1.53e-18,6.69e-20,0.0001645,2.e-6,4.654,0.001296,0.00001,5.598,249.1,0.5,294.15,102200,"C"
5.91e-19,2.86e-20,0.0000513,2.e-6,4.182,0.001379,0.00001,8.364,249.1,0.5,294.15,102200,"C"
1.41e-18,6.2e-20,0.0001287,2.e-6,4.721,0.001426,0.00001,5.666,249.1,0.5,294.15,102200,"C"
6.78e-19,3.15e-20,0.0004158,2.e-6,15.61,0.0004647,0.00001,4.066,249.9,0.5,294.15,102200,"C"
1.22e-18,5.51e-20,0.0004178,2.e-6,11.3,0.0005562,0.00001,3.213,249.9,0.5,294.15,102200,"C"
1.73e-18,7.59e-20,0.0004338,2.e-6,11.69,0.0008611,0.00001,3.346,249.9,0.5,294.15,102200,"C"
2.6e-18,1.13e-19,0.0004319,2.e-6,8.03,0.0009742,0.00001,3.133,249.9,0.5,294.15,102200,"C"
7.34e-19,3.36e-20,0.0003021,2.e-6,18.03,0.0005633,0.00001,3.28,249.9,0.5,294.15,102200,"C"
1.61e-18,7.16e-20,0.0003584,2.e-6,8.817,0.0007031,0.00001,3.16,249.9,0.5,294.15,102200,"C"
1.08e-18,4.78e-20,0.0003205,2.e-6,17.83,0.0008176,0.00001,3.32,249.9,0.5,294.15,102200,"C"
1.19e-18,5.52e-20,0.0002766,2.e-6,16.4,0.0005425,0.00001,1.92,249.9,0.5,294.15,102200,"C"
8.68e-19,4.1e-20,0.0002265,2.e-6,22.46,0.0004936,0.00001,1.813,249.9,0.5,294.15,102200,"C"
7.55e-19,3.57e-20,0.0003226,2.e-6,13.71,0.0004439,0.00001,3.133,249.9,0.5,294.15,102200,"C"
3.63e-19,1.99e-20,0.0004027,2.e-6,19.29,0.0002437,0.00001,3.32,269.5,0.5,294.15,102200,"C"
3.33e-19,1.76e-20,0.0002591,2.e-6,19.53,0.0003026,0.00001,3.226,269.5,0.5,294.15,102200,"C"
3.56e-19,1.78e-20,0.00017,2.e-6,19.53,0.0003877,0.00001,2.986,269.5,0.5,294.15,102200,"C"
3.32e-19,1.6e-20,0.0002027,2.e-6,21.57,0.0004366,0.00001,3.773,269.5,0.5,294.15,102200,"C"
6.96e-19,3.29e-20,0.0005167,2.e-6,19.48,0.0004205,0.00001,3.266,269.5,0.5,294.15,102200,"C"
2.48e-19,1.68e-20,0.000618,2.e-6,20.93,0.0001125,0.00001,3.88,269.5,0.5,294.15,102200,"C"
1.e-18,4.44e-20,0.0004962,2.e-6,19.44,0.0007226,0.00001,3.653,269.5,0.5,294.15,102200,"C"
3.77e-19,1.76e-20,0.0001291,2.e-6,21.54,0.0005807,0.00001,3.44,269.5,0.5,294.15,102200,"C"
