BBL1V,BBL1R,BBL2V,BBL2R,BBL3V,BBL3R,BBL4V,BBL4R,BBL5V,BBL5R,BBL6V,BBL6R,BBL7V,BBL7R,BBL9V,BBL9R,BBL10V,BBL10R,BBL11V,BBL11R,BBL12V,BBL12R
545,2.474,539,2.454,538.8,2.448,539.1,2.444,537.7,2.442,537.1,2.432,536,2.427,535.6,2.416,536.6,2.411,535.1,2.399,534.2,2.397
546,2.474,542,2.455,539.6,2.45,539.4,2.445,539.4,2.443,538,2.433,536.8,2.428,536,2.417,537.2,2.412,536,2.401,535.3,2.4
