0	0
1	0
2	0
3	0
4	1
5	1
6	2
7	9
8	369
9	855
10	869
11	869
12	908
13	895
14	876
15	951
16	923
17	872
18	839
19	824
20	819
21	824
22	809
23	828
24	861
25	831
26	834
27	824
28	874
29	882
30	884
31	865
32	877
33	849
34	878
35	838
36	847
37	795
38	814
39	747
40	785
41	820
42	798
43	797
44	785
45	765
46	772
47	785
48	768
49	791
50	727
51	723
52	727
53	743
54	713
55	728
56	742
57	721
58	739
59	726
60	698
61	717
62	699
63	743
64	704
65	716
66	695
67	689
68	684
69	705
70	650
71	685
72	698
73	682
74	721
75	693
76	717
77	618
78	681
79	719
80	665
81	656
82	688
83	639
84	635
85	644
86	629
87	677
88	671
89	687
90	689
91	628
92	633
93	670
94	640
95	624
96	612
97	598
98	594
99	610
100	579
101	586
102	614
103	610
104	592
105	556
106	561
107	592
108	627
109	606
110	632
111	568
112	580
113	521
114	620
115	576
116	594
117	599
118	585
119	547
120	566
121	548
122	542
123	563
124	552
125	564
126	549
127	528
128	585
129	527
130	486
131	572
132	586
133	518
134	542
135	534
136	531
137	498
138	567
139	515
140	526
141	521
142	542
143	493
144	518
145	487
146	477
147	506
148	500
149	525
150	484
151	508
152	533
153	473
154	478
155	482
156	518
157	459
158	462
159	499
160	496
161	485
162	482
163	529
164	497
165	510
166	465
167	450
168	478
169	469
170	527
171	431
172	454
173	458
174	462
175	394
176	427
177	441
178	443
179	446
180	433
181	457
182	480
183	407
184	474
185	486
186	495
187	467
188	425
189	437
190	445
191	453
192	424
193	418
194	413
195	412
196	429
197	379
198	421
199	426
200	404
201	415
202	414
203	379
204	420
205	413
206	385
207	399
208	413
209	419
210	392
211	408
212	410
213	400
214	402
215	372
216	387
217	336
218	370
219	380
220	391
221	375
222	362
223	374
224	382
225	372
226	376
227	370
228	383
229	349
230	349
231	412
232	369
233	388
234	355
235	346
236	362
237	371
238	360
239	366
240	367
241	372
242	346
243	316
244	327
245	342
246	365
247	334
248	324
249	357
250	352
251	309
252	327
253	389
254	338
255	345
256	329
257	344
258	336
259	332
260	360
261	342
262	337
263	322
264	308
265	331
266	304
267	333
268	307
269	302
270	325
271	318
272	314
273	344
274	312
275	306
276	299
277	309
278	327
279	310
280	317
281	310
282	282
283	322
284	307
285	300
286	280
287	319
288	293
289	299
290	301
291	295
292	320
293	289
294	272
295	311
296	272
297	265
298	260
299	276
300	287
301	283
302	256
303	253
304	313
305	265
306	268
307	246
308	303
309	292
310	253
311	247
312	257
313	259
314	269
315	312
316	258
317	281
318	231
319	246
320	275
321	249
322	269
323	251
324	239
325	247
326	265
327	228
328	283
329	254
330	238
331	241
332	248
333	224
334	239
335	235
336	258
337	228
338	243
339	249
340	224
341	261
342	211
343	256
344	255
345	244
346	256
347	247
348	221
349	240
350	244
351	246
352	244
353	227
354	226
355	220
356	261
357	228
358	219
359	210
360	237
361	207
362	205
363	217
364	218
365	233
366	187
367	211
368	212
369	204
370	196
371	226
372	203
373	200
374	235
375	208
376	221
377	178
378	215
379	227
380	221
381	179
382	204
383	206
384	223
385	231
386	215
387	201
388	220
389	216
390	206
391	204
392	185
393	198
394	203
395	217
396	236
397	231
398	194
399	212
400	196
401	240
402	216
403	204
404	223
405	198
406	193
407	187
408	168
409	196
410	196
411	190
412	201
413	177
414	213
415	180
416	170
417	202
418	183
419	171
420	182
421	188
422	168
423	183
424	173
425	198
426	178
427	192
428	180
429	190
430	207
431	205
432	169
433	159
434	181
435	199
436	143
437	136
438	189
439	161
440	160
441	162
442	171
443	165
444	172
445	164
446	148
447	166
448	165
449	149
450	154
451	147
452	146
453	150
454	161
455	160
456	172
457	143
458	147
459	152
460	144
461	153
462	147
463	136
464	178
465	162
466	158
467	161
468	158
469	140
470	144
471	147
472	141
473	150
474	139
475	165
476	142
477	161
478	135
479	131
480	149
481	146
482	133
483	152
484	167
485	139
486	166
487	153
488	141
489	147
490	153
491	157
492	160
493	146
494	146
495	153
496	145
497	155
498	148
499	121
500	161
501	104
502	155
503	141
504	156
505	152
506	147
507	127
508	128
509	129
510	155
511	134
512	162
513	141
514	152
515	136
516	125
517	139
518	153
519	128
520	110
521	139
522	144
523	123
524	134
525	129
526	119
527	110
528	135
529	135
530	133
531	119
532	119
533	118
